drugName,condition,review,rating,predicted_rating,generated_summary,identified_sentiment
Ethinyl estradiol / etonogestrel,Birth Control,"I started on the oral contraceptive pill but got horrible nausea and vomiting, so this was my next option. NuvaRing has been fantastic, it has a fraction of the hormones and I get no nausea. Insertion and removing is really not a hassle, and you cannot feel it at all. For me, it beats the pill and vomiting, along with all the other symptoms. I haven't had any noticeable mood issues or migraines. I would recommend it to anyone!",10,8,Effective birth control with no nausea or mood issues.,positive
Benzoyl peroxide / clindamycin,Acne,"My GP had prescribed this to me at my requests for something to deal with my acne. I used this medication for about a month or a little longer. This medication dries out my face something terrible. I had to slather moisturizer on my face, which was probably counterintuitive. The medication worked well at drying out existing acne on my face but did nothing to prevent new acne. Every day I would wake up to new zits. I ended up going to a dermatologist and had something else prescribed. Also, with this medication containing benzoyl peroxide it stains your sheets very badly (thankfully, I already had a pillow case that resisted staining, same can't be said for the sheets).",4,5,Effective against existing acne but causes severe irritation and stains.,negative
Etonogestrel,Birth Control,"I've had this birth control for a year now and at first things were going good, I only had a period once and never had one since but now I have super bad anxiety, I would constantly think I was pregnant, would waste my money on pregnancy test even though I am NOT pregnant and my depression was very bad and honestly , I really don't think it's worth it at all. I'm getting it removed tomorrow and I most likely am going to have to be in therapy.",3,1,Severe side effects outweigh any benefits.,negative
Miconazole,Vaginal Yeast Infection,"OM Freakin G!!!! I've had YIs before but this takes the cake. I've used Monistat a few times and I never experienced such burning as I'm experiencing now. It's starting to cool off but damn. This is only day 1 and I hope it's only the first day. I'd like to think it's because the medication is reacting to the irritation from instance itching I was doing down there before buying the cream. Lol. Because unless Monistat change their ingredients, I can't think of any other logical reason for this severe burning like never before.",1,2,Severe burning side effect with no relief.,negative
Nitrofurantoin,Bladder Infection,"One more day! I hope the infection don't come back, because This antibiotic make me feel so sick, now I'm noticing vaginal discharge, I don't like it at all but Is a side effect, One more day!",9,5,Effective against infection with notable gastrointestinal side effects.,negative
Etonogestrel,Birth Control,"So I first got the nexplanon in July of 2014, for the first 5 months I was fine, I didn't get my period and if I did it was random spotting (very light) but around January I noticed I was very emotional EVERYTHING made me cry. Then my period started coming twice a month with horrific cramps. Or I would spot for 2-3 weeks have a week where I thought It was over and started spotting again. I've now had it for 13 months and it does the job because I havent gotten pregnant. But that's only because I haven't been able to have sex cause I don't know when my period is going to come",5,5,Effective contraception with severe emotional and menstrual side effects.,negative
Cryselle,Endometriosis,"I started taking Cryselle almost 9 months ago to treat my endometriosis as well as to act as a birth control. My OB-GYN instructed me to skip the placebos, and as a result I have had virtually no cramping or break through bleeding (common on my last pill). However, as she warned, I developed severe acne. The acne I could deal with, but the emotional side effects I cannot. I have become increasingly moody the longer I have been on Cryselle, especially around the time of my ""period"". I have also developed strong feelings of anxiety and depression. I had hoped when these symptoms began, that they would lessen over time, but they have just increased in severity.",7,1,Severe emotional side effects outweighing benefits.,negative
Clindamycin,Acne,"I have had problems with acne off and on as a teenager, but after I had our children it got worse. I mean a LOT worse! It got so bad that I have not been in any family pictures or even gone in public for the last 4 years! I am 39 years old and finally got so sick of wasting money and time on everything you can imagine, even tried every old wives tales. Finally my Dr put me on this, benzol peroxide 5% and Retinal- A. Yes weeks 1-3 made it 30%worse but week 4 and beyond my skin looks amazing! I now love going into public and my confidence is through the roof, I would definitely recommend for everyone!",8,10,Life-changing improvement in severe acne with full confidence restored.,positive
Pramipexole,Restless Legs Syndrome,"I am a 12 year survivor of mirapex/Pramepexole. It was a miracle to begin with. I only slept about 4hrs a night but had enormous energy and never tired. That lasted nine years. But during that time I lost bladder control, impulse disorders, loss of concentration, myalgia neuropathy, falling asleep while driving, many more and augmentation. I was on .5 mg. Detoxing med free from this med was horrendous! After detox most of the side effects cleared up. But I still have issues with memory and concentration. This is the only med I took on a reg bases as my health was good. Im still suffering the side effects of the Withdrawl from it. Studies should be for longer than 12 weeks.",1,1,Initial relief with severe long-term side effects.,negative
Effexor XR,Anxiety,"I was prescribed this for onset of anxiety and possible hormonal mood swings. I was not told by my doctor how it would make me feel or how hard coming off of it would be. I took one 37.5 mg capsule and was horrified that I was given this. I woke up at 2am with an anxiety attack for about the first hour. It then went into being wired, nauseous, shakey, weak, chills and sweating. 11 years ago I quit using meth and this was awful that I felt like I was on it again. I laid in bed the entire day, wide awake and ill. I never took another dose! And even one pill took at least another full day to leave my system. My nervous system is obviously sensitive and I could not handle this medication at all.",2,1,Severe adverse effects after single dose; not recommended.,negative
Lurasidone,Schizophrenia,"I am on day #10 of this medication and the side effects are very minimal although I am having trouble sleeping. My sleep patterns have been affected. I feel more energetic, as If I have to be doing something. My mind will not stop repeating the same thoughts, over and over again. I am also very hungry and have an increased appetite. It does however, cause me to think about things differently as I know what my general reaction to things would be, or have been in the past, but, it allows me time to think of an alternative besides being explosive. It has calmed me, and more than once, has helped me to cope with a situation differently and more calmly. Overall, I think I'm doing well so far. I plan to continue this medication for some time.",8,8,Effective with minor side effects; helps manage symptoms.,positive
Afrezza,"Diabetes, Type 1",Since I was on the trials I put 6+ months but I have been back on Afrezza for about 2 weeks. Afrezza is nothing short of a miracle. I am a type 1 diabetic and my blood sugar average in the past 10 days has been 110. I have a CGM so I have had 2880 readings in the past 10 days. A 110 average equals to an A1C of 5.45. This is possible because Afrezza mimics the speed of a healthy pancreas. Afrezza starts working in only 12-15 minutes and works out of my system very quickly. This allows me to manage my glucose in real time without babysitting diabetes all day. Even if I do have a high I can knock my sugars back to 100 in a matter of minutes.,10,8,Miracle drug for type 1 diabetes management.,positive
Sertraline,Major Depressive Disorde,"I had major depression from the time I started menstruating. It would cycle with my cycle. It caused paranoia, and fear of being seen outside my home. It feared going to my mail box, yet, at times I would sign up to do things like be an Avon Lady! I felt crazy. In my mid 30's, divorced, alcoholic, my doctor prescribed Prozac. It didn't seem to help me. Later in recovery but still profoundly depressed, she put me on Zoloft and the result was instantaneous. I felt like a window to my life had been opened. I wasn't afraid. I looked forward to getting out of bed. I found things I liked to do. I have a healthy relationship, a good job, a life. I have been given my life back. Now, I am 16 years sober. Thank you Zoloft.",10,8,Effective treatment for depression and anxiety.,positive
Aluminum chloride hexahydrate,Hyperhidrosis,So in high school over ten years ago I started to sweat really bad under my arms. It was super embarrassing to go through high school with this issue. After trying over the counter products and home remedies I gave up. So my Dr at the time recommended Drysol. I used it for just a few weeks and it worked so good. But then after a few months I noticed my armpits darkening. So I stopped using it. Now about 15 yrs later I've tried so many things to lighten my armpits and nothing works. This stuff did 100% cure my sweaty armpits and I can now freely wear shirts without the sweat marks. But it burned me so bad that I have dark scars for life and still can't walk around freely with tank tops. I guess you can't win them all.,7,5,Effective for hyperhidrosis but caused severe skin damage.,negative
ParaGard,Birth Control,I had paragard for a year and a half and had cramping the whole time with terrible long heavy periods. The last couple months I had it I was in so much pain I could hardly walk. Went to my doc and she said nothing seemed wrong. Then the next day I went to the ER and had it removed. It had slipped a little and was causing a lot of discomfort. I will never get an IUD again. I'm lucky I didn't need surgery like some women,1,2,Severe cramping and discomfort led to ER visit and removal.,negative
Pregabalin,Generalized Anxiety Disorde,"Pregabalin for me was miraculous. On the first dose (75mg three times a day) my anxiety was reversed. I really thought this was too good to be true. I have tried Prozac and lorazepam at different times of my life. But as is commonly known, after the fourth or fifth trial of SSRIs, they ""peter out"" and actually become counter productive, even in some cases causing serotonin syndrome. But about two years ago, I was in a very stressful marriage break-up and was taking benzodiazepines to keep the lid on the anxiety, with little effect. The GP respected my wish to try Lyrica. I was and still am, after two years, astounded by this transformation. I feel like I always felt I should feel. A cessation of anxiety and a sense of well being pervades.",10,10,Miraculous relief from anxiety with no side effects.,positive
Ultram,Pain,I have severe scar tissue and adhesions from mutiple surgeries and the pain was intense it is in my pelvic area. I fill like I'm having a bad cycle every day and walking intensifies the pain this is a every day feeling. My doctor tried me on Ultram and it has been a God send. I take it three times a day. Without it it would be hard to walk so I give it a 10 thank you.,10,10,Complete pain relief from severe adhesions and scar tissue.,positive
Phentermine,Obesity,Started out yesterday at 242 and this morning I was only 239.6 not hungry at all,10,8,Effective weight loss with improved appetite control.,positive
Venlafaxine,Depression,"I was first prescribed Effexor 13 years ago and was taking 225 mg. I was on it for a few years and stopped taking when I was pregnant with my first child. I was put on Paxil (gained so much weight) and then Zoloft. I took the Zoloft off and on for years until it just wasn't working for me anymore. I was then put on Welbutrin while still taking 25mg of Zoloft. I quit smoking (had no desire to smoke) but then became suicidal. My doctor then put me back on Effexor and I currently only take 75 mg. I feel amazing. Yeah the side effects are bad, I've gained weight (lost weight the first time I was on it), have sexual side effects, and get quite shaky/jittery if I'm late on a dose. But I'm finally the mom I've always wanted to be.",8,8,Effective treatment for depression with manageable side effects.,positive
Venlafaxine,Depression,I took Effexor for the first and last time yesterday around 7:41 am . At first I couldn't feel my arms or face and then it felt like fire works were going off in my head . I yawned all day long and each time I did I felt like my own tongue was gagging me . The worst of it was around 3:45 am I woke up shaking uncontrollably falling over couldn't see straight it felt like I was being electrocuted it was to the point I either wanted to be knocked out or die . My husband found me shaking and rocking back and forth in our living room floor . This drug for me personally was horrific .,1,1,Horrific drug causing severe side effects.,negative
Tioconazole,Vaginal Yeast Infection,"So the cream itches and burns like anything. Only an hour into it but good grief. I have coconut oil I previously bought specifically for my daughter's diaper rash, which I applied and is taking the edge off. Next time, diflucan. Ugh.",3,2,"Severe irritation, minimal relief.",negative
Orthovisc,Osteoarthritis,"My Dr thought this would be a good idea for me because of my knee condition I had had for years. I figured I'd give it a go and big surprise it made it worse a lot worse - it was like he stirred up a hornets nest after those shots. Now I'm having more trouble with it than ever before with walking pain, sleeping pain, knee resting pain, it's all worse I'm 40 and walk like I'm 80. Physical therapy was a joke considering my condition can't be fixed without replacing the knee. All physical therapy did was get me to shift my weight to one side and now my other knee is giving me problems. I guess the Dr won't be happy until I'm in a wheelchair .",1,1,Severe worsening of knee pain after Orthovisc injection.,negative
Minoxidil,High Blood Pressure,"I have been prescribed this medicine cause I have kidney disease with high blood pressure, and I'm not urinating much, I work which keeps me on my feet and it has caused fluid to build up terribly around my ankles, my legs in my face , and my pressure is still high. Don't take this medicine its torture.",1,1,"Severe side effects worsen condition, not recommended.",negative
Acetaminophen / hydrocodone,Pain,"I have been prescribed Vicodin 5/500s for over a year due to chronic headaches from a severe sinus problem. They work great. However you have to be careful. You will build a tolerance over time and need more of them to have the same analgesic effect. Secondly they are habit forming. If you are on them for a long time and need to use them often, as I have, you will most likely become addicted. As I have.",9,8,Effective but risky due to tolerance and addiction risk.,positive
Ethinyl estradiol / norgestimate,Birth Control,"I'd never been on birth control up until a few months ago, and I was given Ortho Tri-Cyclen Lo as a starter, because I did not want it to have much hormones. I went through two whole packs and decided to switch because of extremely low sex drive, extreme mood swings and increased appetite (I would eat a full meal and two hours later my stomach would be growling again). My relationship began to suffer due to these side effects so I stopped taking it and am back to normal. However, this pill DID have pros: I didn't get pregnant, it regulated my period and caused no breakouts or acne. But be wary of weight gain, decreased libido and mood swings.",4,5,Effective contraception with notable side effects impacting relationships.,negative
Levonorgestrel,Emergency Contraception,on March 21-25 I had my period. On March 26 I had an accident. My cycle ranges from 28-33 days. I took plan B within 1 hour that same day March 26. That day I got cramps and got really tired. The next day I experienced diahrrea. On March 31st I started bleeding again which scared me and it lasted 4 days. The bleeding was really light. I spent all April worrying. I took over 10 home pregnancy test and they were all negative. Well today I started bleeding again which makes me 3 days late from my actual period. Yet on time from the plan B period. I never want to go through this ever again.,8,10,Effective emergency contraception with minor side effects.,positive
Celecoxib,Osteoarthritis,Celebrex did nothing for my pain.,1,1,Complete failure to relieve osteoarthritis pain.,negative
Fluoxetine,Major Depressive Disorde,"I have Major Depressive Disorder, Bipolar Disorder, and anxiety, I have never felt more calm and in-control of my emotions. Usually every night I'd fall into a fit of thinking of self-harm, I have thought of them no more, I still get sad, but it's sadness, not full on depression. My anxiety has decreased so much, I still get nervous, but it is not even close to how bad it was. An added bonus, is for me, it makes me drowsy, so I get more sleep. I have never been so happy in my life. Prozac is a life saver.",10,8,"Effective for depression, anxiety, and bipolar disorder with added sleep",positive
Topamax,Migraine Prevention,"I seemed to catch everything while I was on this rx. First it was a really bad cold, next I could not seem to heal from surgery for deviated septum - my ENT was stumped, then later I caught the flu while the rest of my family seemed fine. Also during this 6 month period I had a couple of sinus infections. Eventually, I knew something was very wrong. I started searching the Internet for immunity issues and topiramate, and I got a couple of hits from blogs where women about my age (40s) claimed that topiramate had wrecked their immunity. Alas, my search (and problem) was over because I knew exactly what they meant by ""wrecked my immunity"". Within a few short weeks of ceasing the use of topiramate, my health returned. Please beware!",1,1,"Severe adverse reactions, particularly affecting immunity.",negative
Lo Loestrin Fe,Birth Control,"BC from below. Rapid weight gain, swelling and bad cycle. Don't recommend",1,2,Severe side effects; do not recommend.,negative
Copper,Birth Control,"I just got the copper IUD removed after having it for 7 months. I am normally a really positive person with a happy demeanor and I am convinced that the copper IUD threw me into depression and anxiety. I have NEVER had depression or anxiety, and every month my moods got worse, I would cry almost everyday, I would snap at my bf or family for the smallest thing, and I felt rage almost all the time. I was trying to figure out if something else in my life was affecting me, I even went to my therapist and a depression care specialist. I finally read some reviews on the copper IUD and depression and it seems pretty common. Drs will tell you it's not the IUD but please trust your intuition. I also had yeast infection & BV almost every month because of IUD.",5,1,Severe side effects causing mental health issues and infections.,negative
Phentermine,Weight Loss,I absolutely LOVE this medicine. I lost 30 pounds on it last year and have lost 7 lbs on it in the last month (no exercise). It makes me feel good and gives me the energy to get things done. My libido had been down due to being on anti-depressants BUT this medicine has affected my libido in a GOOD way. It also helps tremendously because I have ADHD. It helps so much with that too. I love this medicine. HOWEVER don't drink a lot when you take it. When I first started it last April I drank WAY too much and ended up in the hospital. The doctor was amazed that they hadn't told me not to drink on it but all is well now.,9,8,Effective weight loss medicine with positive side effects. Caution advised,positive
Copper,Birth Control,"I have had my Paragard for one year, and it's been great! Insertion was not pleasant, but it only lasts a moment and now it's nothing but a distant memory. My periods were heavier and my cramps more severe for the first three months, but after that they returned to nearly the same as before. So many people wrote about their terrible experiences that reading up almost stopped me from doing it, and now I'm so glad I got it anyway. Just remember that those who had a negative experience are more likely to post about it, so there's a bias! It's also totally possible that it will go just fine and be a fantastic BC method. Don't be too afraid to try it and see if it's right for you, you can always take it out if it's not.",10,7,Effective birth control with initial discomfort and side effects.,positive
Amitriptyline,ibromyalgia,"I am a 66 year old post-premenopausal female with Fibromyalgia. I was given Amitriptyline to treat my condition. After 6 days on this medication, I began experiencing lower abdominal cramping and on the 7th day, started vaginal bleeding. I immediately stopped the medication, but the bleeding continued for 7 days. After researching, I found that in studies of 854 women, 2 experienced bleeding, both were over 60 years old.",1,1,Severe cramping and prolonged vaginal bleeding with no therapeutic benefit.,negative
Guaifenesin / pseudoephedrine,Cough and Nasal Congestion,"I have severe sinus problems all year long, but worse in the fall. The pressure pain is almost unbearable. My doctor has prescribed everything under the sun to help relieve the symptoms and nothing works better than Mucinex D. I never have any drainage with my sinuses...just the pain/pressure and I can get almost immediate relief after I take 1 bi-layer tablet (1200mg guaifenesin and 120mg pseudoephedrine). The medicine says it has an immediate release layer that works quickly and it does. Then it has an extended release layer that works over the next few hours. I also have the side effect of insomnia, but it's so worth it to relieve that sinus pressure (those of you who have it know what I'm talking about!).",9,8,Effective for sinus pain with minor insomnia.,positive
Bupropion,Smoking Cessation,Where are my taste buds? Everything tastes like nothing and cigarettes are unappreciated totally. I was forced to quit in my 3 day hospital visit came out 2 weeks later got prescription and patches to quit. Other than everything tasting like bitter nothing I can understand why this actually works. Good luck to all,10,2,Severe side effects with unknown efficacy.,negative
Zoloft,Depression,"I was on this medication for about 2 months and it was an awful experience. I started out on 25mg and I couldn't really feel any emotions, so they increased the dosage to 50mg. I started feeling worse, so I was told to increase the dosage again. Once I got to 75mg, I started becoming angry, even more anxious than I was before, I had an out-of-body experience, and I was becoming incredibly impulsive. After trying another anti-depressant and failing, it is believed that I have a mood disorder and was placed on mood stabilizers.",2,1,Severe adverse effects led to discontinuation.,negative
Sutent,Renal Cell Carcinoma,"I am a 72 year old male that had a kidney removed six years ago. Since then the cancer reformed in my hip causing a partial hip replacement, then on to my breast bone (radiation treatment) and finally my lung and adrenal gland. At that point I was put on Sutent 50mg which caused white count issues. We dialed down to 37.5 which stabilized the blood and now after three months my tumors have shrunk by half. Side effects are not pleasant but tolerable. Bottom line I am still alive thanks to Sutent.",9,8,Effective against advanced renal cell carcinoma with tolerable side effects.,positive
Tramadol,Pain,This medication does not relieve eve the slightest pain.,1,1,Ineffective pain medication.,negative
BuSpar,Panic Disorde,"I have a 10 year old who is autistic, is the size of a 13 year old, and has had severe panic and tantrums since he was 4 years old. He is also going through puberty early. We have tried just about every medication and he has had severe side effects, until Buspar. We started with 5mg twice a day for 2 weeks and now are 10mg twice a day. Within 36 hours we noticed a considerable change in his physical symptoms (he is non-verbal and cannot tell us what is wrong/or what hurts) The school is sending home notes saying he is learning to calm himself and self regulate better and is having more spontaneous language and learning at school. We supplement the Buspar with 3mg daily of risperdal and are hoping to phase out the RISPERDAL this year.",10,8,Effective for severe panic disorder in autistic children.,positive
Magnesium citrate,Constipation,"Make sure you drink more than 8 ozs of water after taking the whole bottle. LOTS OF WATER right after taking it.. You will need butt ointment, vinyl gloves, baby wipes, and garbage bags. I had to take 3 bottles in 24 hrs for the colonoscopy. My butt was terribly raw, I used cold pressed castor oil, but I heard A&D ointment works good and prob won't be as oily.. It took 2 hrs to work with just 8 ozs of water, but would have worked sooner if I had taken 16 ozs of water. The more water you drink the more it will work. I bought lemon flavor at Big Lots, but I've heard it comes in grape or cherry.",10,2,Severe constipation relief with harsh side effects.,negative
Tioconazole,Vaginal Yeast Infection,"So, I've had a yeast infection for two weeks thinking it would go away like the last one. I was completely wrong! My sister decided lets go to the grocery store last night. So, I was all for the trip just to get Monistat. Now, I've tried the 7-day and 3-day. The seven day made my very uncomfortable I felt as though ants were down there, but the 3 day just didn't work. I've got a diflucan but it didn't clear it. I told myself give Monistat one more time. I grabbed the 1-day off the shelf went home and used it around 9pm. Oh my gosh I have seen a complete improvement overnight. Thank you no more symptoms this morning.",10,8,Effective treatment for yeast infection with rapid symptom relief.,positive
Levonorgestrel,Emergency Contraception,"Me and my boyfriend did the deed on 3/10, the condom had broke. My period had just ended. We didn't realize until after when he was pulling out. We immediately began to panic. I took a quick rinse off shower (don't know if this is the best idea but oh well) after I rinsed off we went to the store and bought plan b. We went home right after and I took it. I was feeling really nervous about this whole thing. I began to read so many reviews. On 3/14 I began to bleed very heavily and had cramps that lasted for 6 days. I started having cramps, my breast hurt, and everything u can think. I was due 4/3. I took a test and it came back NEG. I was 12 days late before it finally came! It takes time but I promise everything will be okay in the end!",10,5,Severe side effects with delayed period.,negative
Desyrel,Insomnia,"I was taking regular Trazodone on and off for a couple of years, it stopped working so my doctor switched me to Desyrel. It's a good pill for the fact that it does make you tired, but I'd make sure you're gonna get 8 or more hours of sleep before you take it. I was prescribed 100mg pills, and I only took half of a pill whenever I took it, and I had the hardest time waking up the next day. Also, with the reg Trazodone and with Desyrel, it took a long time for it to kick in for me (2 hours), but that might be because I have a high tolerance to pills. If you're new to this medicine, take it on the weekend, or whenever you can sleep in, so you can see how it works.",6,5,Effective sleep aid with notable daytime side effects.,negative
Glyburide,"Diabetes, Type 2","I am taking 1/2 pill twice a day (5mg total) with Fortamet, the difference is amazing!",9,8,Effective blood sugar control with minimal dose.,positive
Escitalopram,Generalized Anxiety Disorde,First off let me start off by saying that I am only here because before I started this medication I lived and died by the reviews on here. As a matter of fact had it not been for the reviews I probably never would have taken the chance and been A LOT worse off. If your reading this you’re probably at the point where you know you should take this medicine but anxiety is telling you it will harm or kill you. Don’t listen to it. It’s LYING. This medicine took me from being agoraphobic to attending rock concerts. It doesn’t work overnight and the side effects DID suck but they were worth every single one. I have my life back and my only regret is that I waited so long to try. I started in May and by October I was basically a brand new person.,10,10,Life-changing relief from severe anxiety with manageable side effects.,positive
Lurasidone,Bipolar Disorde,"I'm one of those unlucky people that doesn't really respond to antidepressants, so I need an antipsychotic to stabilize my mood. I was on Seroquel for a many years but switched after the negative effects of my memory and concentration, which ended up being not so subtle; weight gain and oversleeping came a little while after as well, so I found it was time to switch. This is my best try so far after Seroquel, but that's not saying much. Having to take this with food needing to go to sleep pretty much Right After or else getting lost in a paranoid/anxious frenzy/limbo-type state is really quite challenging. I also get tired pretty early which I believe is due to the half-life of the medication (18 hours or so)",5,5,Partial mood stabilization with notable side effects.,negative
Miconazole,Vaginal Yeast Infection,"I wish I read the earlier reviews to prepare myself. Oh my goodness this itches quite a bit, is that seriously wrong? Cause I know hydrogen peroxide itches and burns when it's cleaning a cut maybe that's the same thing.... I havent tried the itch cream that comes with it but that's for external use and the itching is internal with warnings on the box not to scratch. Gonna be a rough night.",3,2,Severe itching and potential harm with miconazole.,negative
